dew,humidity,pressure,temperature,timestamp,volt
25.50131,99.18,1007.77,25.64,1767200430,4.09
25.48793,99.16,1007.75,25.63,1767200490,4.09
25.5113,99.18,1007.73,25.65,1767200550,4.1
25.49132,99.18,1007.74,25.63,1767200610,4.09
25.47134,99.18,1007.68,25.61,1767200670,4.09
25.50131,99.18,1007.66,25.64,1767200730,4.09
25.49132,99.18,1007.64,25.63,1767200790,4.09
25.49302,99.19,1007.61,25.63,1767200850,4.09
25.50131,99.18,1007.62,25.64,1767200910,4.09
25.46965,99.17,1007.58,25.61,1767200970,4.1
25.47454,99.14,1007.56,25.62,1767201030,4.1
25.49792,99.16,1007.53,25.64,1767201090,4.09
25.45966,99.17,1007.5,25.6,1767201150,4.09
25.45457,99.14,1007.48,25.6,1767201210,4.09
25.47794,99.16,1007.43,25.62,1767201270,4.1
25.44457,99.14,1007.39,25.59,1767201330,4.09
25.45626,99.15,1007.37,25.6,1767201390,4.09
25.45626,99.15,1007.34,25.6,1767201450,4.09
25.45626,99.15,1007.34,25.6,1767201511,4.09
25.43459,99.14,1007.3,25.58,1767201571,4.09
25.45626,99.15,1007.27,25.6,1767201631,4.09
25.45457,99.14,1007.25,25.6,1767201691,4.09
25.45457,99.14,1007.25,25.6,1767201751,4.09
25.42459,99.14,1007.23,25.57,1767201811,4.1
25.44457,99.14,1007.21,25.59,1767201871,4.09
25.43119,99.12,1007.2,25.58,1767201931,4.09
25.44457,99.14,1007.2,25.59,1767201991,4.09
25.43459,99.14,1007.2,25.58,1767202051,4.09
25.41291,99.13,1007.18,25.56,1767202111,4.09
25.40292,99.13,1007.18,25.55,1767202171,4.09
25.41291,99.13,1007.18,25.56,1767202231,4.09
25.37295,99.13,1007.16,25.52,1767202291,4.09
25.36617,99.09,1007.17,25.52,1767202351,4.09
25.36617,99.09,1007.15,25.52,1767202411,4.09
25.36786,99.1,1007.16,25.52,1767202471,4.09
25.37126,99.12,1007.14,25.52,1767202531,4.09
25.35957,99.11,1007.14,25.51,1767202591,4.09
25.35788,99.1,1007.17,25.51,1767202651,4.09
25.35618,99.09,1007.15,25.51,1767202711,4.09
25.32112,99.06,1007.14,25.48,1767202772,4.09
25.34769,99.04,1007.14,25.51,1767202832,4.09
25.36277,99.07,1007.11,25.52,1767202892,4.09
25.28607,99.03,1007.13,25.45,1767202952,4.09
25.31603,99.03,1007.1,25.48,1767203012,4.09
25.28267,99.01,1007.09,25.45,1767203072,4.09
25.27758,98.98,1007.06,25.45,1767203132,4.09
25.28247,98.95,1007.04,25.46,1767203192,4.09
25.25251,98.95,1007.03,25.43,1767203252,4.09
25.23913,98.93,1006.98,25.42,1767203312,4.09
25.23743,98.92,1006.97,25.42,1767203372,4.09
25.23743,98.92,1006.95,25.42,1767203432,4.1
25.23403,98.9,1006.89,25.42,1767203492,4.09
25.23403,98.9,1006.89,25.42,1767203552,4.09
25.24401,98.9,1006.85,25.43,1767203612,4.09
25.24891,98.87,1006.83,25.44,1767203672,4.09
25.20556,98.85,1006.83,25.4,1767203732,4.09
25.19388,98.84,1006.79,25.39,1767203792,4.09
25.20046,98.82,1006.81,25.4,1767203852,4.09
25.17051,98.82,1006.78,25.37,1767203913,4.09
25.18708,98.8,1006.78,25.39,1767203972,4.09
25.16371,98.78,1006.77,25.37,1767204032,4.09
25.16371,98.78,1006.8,25.37,1767204093,4.09
25.14204,98.77,1006.76,25.35,1767204153,4.09
25.14034,98.76,1006.73,25.35,1767204213,4.09
25.14204,98.77,1006.72,25.35,1767204273,4.09
25.12695,98.74,1006.71,25.34,1767204333,4.09
25.12185,98.71,1006.7,25.34,1767204393,4.09
25.12865,98.75,1006.65,25.34,1767204453,4.1
25.11697,98.74,1006.62,25.33,1767204513,4.09
25.08192,98.71,1006.58,25.3,1767204573,4.09
25.10019,98.7,1006.6,25.32,1767204633,4.09
25.07852,98.69,1006.57,25.3,1767204693,4.09
25.07194,98.71,1006.54,25.29,1767204753,4.09
25.09849,98.69,1006.51,25.32,1767204813,4.09
25.07852,98.69,1006.51,25.3,1767204873,4.09
25.08022,98.7,1006.5,25.3,1767204933,4.09
25.05345,98.66,1006.46,25.28,1767204993,4.09
25.05175,98.65,1006.44,25.28,1767205053,4.09
25.03349,98.66,1006.45,25.26,1767205113,4.09
25.04347,98.66,1006.44,25.27,1767205173,4.09
25.00184,98.65,1006.45,25.23,1767205234,4.09
25.0184,98.63,1006.46,25.25,1767205294,4.09
25.00842,98.63,1006.45,25.24,1767205354,4.09
25.01012,98.64,1006.42,25.24,1767205414,4.09
